Employee ID,Name,Age,Department,Salary,Years at Company,Performance Score,Attrition
E00001,Employee_1,50,Finance,59681.64,10,1.0,Yes
E00002,Employee_2,36,Sales,104471.61,7,1.0,Yes
E00003,Employee_3,29,Sales,95948.71,3,1.49,Yes
E00004,Employee_4,42,Marketing,69485.83,5,1.0,Yes
E00005,Employee_5,40,IT,71254.58,5,1.73,Yes
E00006,Employee_6,44,IT,61453.52,5,1.0,Yes
E00007,Employee_7,32,IT,49252.62,1,1.0,Yes
E00008,Employee_8,32,Finance,62268.92,8,1.11,No
E00009,Employee_9,45,Sales,76566.77,5,1.0,Yes
E00010,Employee_10,57,Engineering,84584.4,2,1.05,Yes
E00011,Employee_11,45,Finance,79935.63,3,1.0,Yes
E00012,Employee_12,24,Engineering,42353.39,5,1.03,Yes
E00013,Employee_13,43,Finance,60661.58,0,1.0,Yes
E00014,Employee_14,23,Sales,42966.99,7,1.26,Yes
E00015,Employee_15,45,Engineering,82532.65,5,1.52,Yes
E00016,Employee_16,51,HR,58814.23,9,2.0,Yes
E00017,Employee_17,59,Finance,64293.35,5,1.13,Yes
E00018,Employee_18,23,HR,72200.75,1,1.0,Yes
E00019,Employee_19,42,Finance,106492.1,1,1.0,Yes
E00020,Employee_20,54,Sales,69024.12,3,1.0,Yes
E00021,Employee_21,33,Sales,61425.93,4,1.0,Yes
E00022,Employee_22,43,IT,46384.37,3,1.16,Yes
E00023,Employee_23,46,Finance,86879.59,5,1.63,No
E00024,Employee_24,48,Sales,62275.45,3,1.0,Yes
E00025,Employee_25,49,IT,89857.14,5,1.0,Yes
E00026,Employee_26,37,Sales,81584.2,3,1.0,Yes
E00027,Employee_27,36,Engineering,58055.66,6,1.34,No
E00028,Employee_28,24,Sales,44115.86,4,1.38,Yes
E00029,Employee_29,58,Finance,69088.54,8,1.71,Yes
E00030,Employee_30,28,Finance,55776.45,6,1.0,Yes
E00031,Employee_31,42,Sales,65590.19,5,1.0,Yes
E00032,Employee_32,30,IT,80735.74,4,1.0,Yes
E00033,Employee_33,39,Engineering,40196.27,0,1.0,Yes
E00034,Employee_34,25,Engineering,68969.21,9,2.01,Yes
E00035,Employee_35,46,Sales,76393.94,2,1.69,Yes
E00036,Employee_36,35,Engineering,77121.66,5,1.0,Yes
E00037,Employee_37,30,Sales,44546.87,6,1.07,Yes
E00038,Employee_38,47,HR,71290.05,4,1.47,Yes
E00039,Employee_39,23,IT,83053.05,9,1.0,Yes
E00040,Employee_40,41,HR,70148.51,1,1.0,Yes
E00041,Employee_41,49,Sales,63264.59,10,2.63,No
E00042,Employee_42,28,Sales,82094.19,7,1.04,No
E00043,Employee_43,29,Sales,54585.22,4,1.0,Yes
E00044,Employee_44,56,Engineering,42052.51,4,1.0,Yes
E00045,Employee_45,35,IT,61991.03,0,1.0,Yes
E00046,Employee_46,38,Sales,73025.68,2,1.0,Yes
E00047,Employee_47,57,Finance,80584.05,3,1.09,Yes
E00048,Employee_48,25,IT,72957.54,5,1.32,Yes
E00049,Employee_49,23,Engineering,77537.32,8,1.53,No
E00050,Employee_50,27,IT,80679.67,11,1.68,Yes
E00051,Employee_51,25,HR,59909.34,5,1.0,Yes
E00052,Employee_52,50,Finance,62780.91,5,1.0,Yes
E00053,Employee_53,39,HR,84307.52,3,1.0,Yes
E00054,Employee_54,47,Engineering,46847.64,0,1.0,Yes
E00055,Employee_55,55,Sales,71436.99,3,1.0,Yes
E00056,Employee_56,31,Engineering,54249.37,4,1.23,No
E00057,Employee_57,57,Engineering,81503.92,7,1.67,Yes
E00058,Employee_58,35,HR,64730.97,6,1.26,Yes
E00059,Employee_59,52,Sales,65113.91,5,2.12,No
E00060,Employee_60,36,Marketing,90933.2,3,1.0,Yes
E00061,Employee_61,29,Finance,48859.36,0,1.05,Yes
E00062,Employee_62,35,Engineering,68237.29,0,1.0,Yes
E00063,Employee_63,44,Sales,62298.11,0,1.0,Yes
E00064,Employee_64,42,IT,72986.17,4,1.47,Yes
E00065,Employee_65,37,IT,93939.96,7,1.4,Yes
E00066,Employee_66,39,Finance,55921.38,7,1.0,Yes
E00067,Employee_67,45,Engineering,47039.03,7,1.0,Yes
E00068,Employee_68,47,Engineering,52860.09,3,1.0,Yes
E00069,Employee_69,46,Sales,61507.73,8,1.72,Yes
E00070,Employee_70,50,Sales,65963.46,2,1.15,Yes
E00071,Employee_71,36,IT,66717.93,7,2.16,No
E00072,Employee_72,22,Finance,92039.91,0,1.13,Yes
E00073,Employee_73,46,HR,89372.59,1,1.32,Yes
E00074,Employee_74,28,IT,84544.2,9,1.7,Yes
E00075,Employee_75,30,HR,102716.58,4,1.66,Yes
E00076,Employee_76,45,Engineering,77361.48,2,1.52,Yes
E00077,Employee_77,22,Engineering,81625.33,8,1.71,Yes
E00078,Employee_78,29,Marketing,77071.56,8,1.31,Yes
E00079,Employee_79,45,Sales,74613.58,3,1.0,Yes
E00080,Employee_80,32,Marketing,70915.95,5,1.59,Yes
E00081,Employee_81,38,IT,59047.14,5,1.0,Yes
E00082,Employee_82,29,Sales,46298.33,0,1.0,Yes
E00083,Employee_83,56,HR,63040.19,0,1.58,Yes
E00084,Employee_84,56,IT,73486.61,7,1.89,Yes
E00085,Employee_85,54,HR,66083.93,2,1.23,Yes
E00086,Employee_86,26,Marketing,49019.96,6,1.26,Yes
E00087,Employee_87,49,Marketing,62511.75,5,1.0,Yes
E00088,Employee_88,28,Engineering,61729.96,8,1.0,Yes
E00089,Employee_89,30,Engineering,64064.68,0,1.0,Yes
E00090,Employee_90,29,Marketing,72363.73,6,1.6,Yes
E00091,Employee_91,33,Finance,75593.87,4,1.0,Yes
E00092,Employee_92,55,Sales,57499.23,2,1.0,Yes
E00093,Employee_93,54,Sales,79716.82,2,1.21,Yes
E00094,Employee_94,44,HR,81974.57,5,1.0,Yes
E00095,Employee_95,45,Marketing,69804.53,6,1.05,Yes
E00096,Employee_96,58,IT,74971.25,5,1.41,Yes
E00097,Employee_97,56,Finance,79763.47,5,1.15,Yes
E00098,Employee_98,43,Sales,48535.33,3,1.0,Yes
E00099,Employee_99,48,Engineering,80820.97,3,1.0,No
E00100,Employee_100,56,IT,53149.09,2,1.0,Yes
E00101,Employee_101,22,Sales,54609.48,3,1.67,Yes
E00102,Employee_102,56,Engineering,67944.34,6,1.06,Yes
E00103,Employee_103,58,Sales,32839.4,7,1.0,Yes
E00104,Employee_104,35,Finance,67634.3,1,1.26,Yes
